"ensembl_gene_id","external_gene_name","description","gene_biotype","baseMean","log2FoldChange","lfcSE","pvalue","padj","diffexpressed","delabel"
"ENSG00000169218","RSPO1","R-spondin 1 [Source:HGNC Symbol;Acc:HGNC:21679]","protein_coding",25.7917709823011,10.3776327548083,3.10160215538479,3.43347278485206e-10,2.59484819708315e-09,"UP",NA
"ENSG00000169442","CD52","CD52 molecule [Source:HGNC Symbol;Acc:HGNC:1804]","protein_coding",21218.1161490709,-13.7750734530918,1.11690249639286,6.71846326155026e-34,2.31437232014711e-32,"DOWN",NA
"ENSG00000177272","KCNA3","potassium voltage-gated channel subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:6221]","protein_coding",2044.66759784448,-13.8356105353812,3.39224395848293,8.57315198478428e-18,1.18360245790903e-16,"DOWN",NA
"ENSG00000180875","GREM2","gremlin 2, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:17655]","protein_coding",36.420588402098,11.0174629271767,3.0957399522742,8.18042712773624e-13,7.86902885370544e-12,"UP",NA
"ENSG00000182866","LCK","LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]","protein_coding",15801.9421413799,-12.4556682357698,0.752254621825927,8.96188453220861e-60,8.55709605635785e-58,"DOWN",NA
"ENSG00000183114","FAM43B","family with sequence similarity 43 member B [Source:HGNC Symbol;Acc:HGNC:31791]","protein_coding",177.349997202607,10.3309001655987,1.10053537953749,9.59757905257241e-21,1.59701470387073e-19,"UP",NA
"ENSG00000197106","SLC6A17","solute carrier family 6 member 17 [Source:HGNC Symbol;Acc:HGNC:31399]","protein_coding",1022.86047531948,13.7807179239667,1.38491377302523,5.56485931670822e-36,2.08619903817675e-34,"UP",NA
"ENSG00000198771","RCSD1","RCSD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28310]","protein_coding",13008.8843592067,-10.5591561663074,0.58770733164278,1.61339877259087e-71,2.30691701885933e-69,"DOWN",NA
"ENSG00000215808","LINC01139","long intergenic non-protein coding RNA 1139 [Source:HGNC Symbol;Acc:HGNC:27924]","lncRNA",154.476146380023,10.969571422657,1.40504124393743,4.91153238131653e-22,8.83951564693108e-21,"UP",NA
"ENSG00000223764","LINC02593","long intergenic non-protein coding RNA 2593 [Source:HGNC Symbol;Acc:HGNC:53933]","lncRNA",492.097611137175,10.2806865195016,0.840785206046879,5.36581659832666e-35,1.92533348661774e-33,"UP",NA
"ENSG00000225712","ATP5MC2P1","ATP synthase membrane subunit c locus 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:844]","processed_pseudogene",38.2668938534138,11.1061526582612,3.09900678523354,4.02148796603901e-13,3.99537076067297e-12,"UP",NA
"ENSG00000228121","PHB1P3","PHB1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:8915]","processed_pseudogene",99.02894277839,10.2866817314805,1.42392014546823,7.50840414206896e-19,1.11099392334077e-17,"UP",NA
"ENSG00000231671","LINC01307","long intergenic non-protein coding RNA 1307 [Source:HGNC Symbol;Acc:HGNC:50494]","lncRNA",861.909280924902,-12.2876255363539,3.36330552056993,1.09330250768294e-11,9.47994652659494e-11,"DOWN",NA
"ENSG00000235282","DYNLL1P3","dynein light chain LC8-type 1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:49654]","processed_pseudogene",28.7749848989449,10.5847208867229,3.09523620526925,4.87350312576479e-11,4.00435050362436e-10,"UP",NA
"ENSG00000236975","LINC02814","long intergenic non-protein coding RNA 2814 [Source:HGNC Symbol;Acc:HGNC:54346]","lncRNA",31.0760537363919,10.7328420099292,3.09053330514781,1.02551165965011e-11,8.92898064984215e-11,"UP",NA
"ENSG00000244682","FCGR2C","Fc gamma receptor IIc (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:15626]","protein_coding",854.000995946071,-12.2215218684342,3.43259905004949,9.52320115273289e-11,7.59028475069641e-10,"DOWN",NA
"ENSG00000276600","RAB7B","RAB7B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30513]","protein_coding",105.49727796119,12.8378107788162,3.17361748748863,2.28692150302557e-21,3.91293231792481e-20,"UP",NA
"ENSG00000288859","H2AC19","H2A clustered histone 19 [Source:HGNC Symbol;Acc:HGNC:29668]","protein_coding",1929.37372838745,-11.0246419261761,1.69877924488684,2.69882969824071e-11,2.26593391070349e-10,"DOWN",NA
"ENSG00000003137","CYP26B1","cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]","protein_coding",378.315086263779,12.2886922146768,1.37699449768405,1.57214731594336e-28,4.1229382237652e-27,"UP",NA
"ENSG00000055813","CCDC85A","coiled-coil domain containing 85A [Source:HGNC Symbol;Acc:HGNC:29400]","protein_coding",37.6313747324368,11.0809034006145,3.09313827490877,3.53659170423016e-13,3.53460415708342e-12,"UP",NA
"ENSG00000075884","ARHGAP15","Rho GTPase activating protein 15 [Source:HGNC Symbol;Acc:HGNC:21030]","protein_coding",7524.99255364233,-13.1534694637793,1.37728073701541,8.3240007840447e-21,1.38834184237519e-19,"DOWN",NA
"ENSG00000079263","SP140","SP140 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:17133]","protein_coding",6533.11071725943,-10.873732216075,0.712518876207941,4.40079718463214e-51,3.00288448660726e-49,"DOWN",NA
"ENSG00000115138","POMC","proopiomelanocortin [Source:HGNC Symbol;Acc:HGNC:9201]","protein_coding",563.700557678244,-11.5564693363488,3.34055245965002,3.70918322619615e-10,2.7943102864227e-09,"DOWN",NA
"ENSG00000115165","CYTIP","cytohesin 1 interacting protein [Source:HGNC Symbol;Acc:HGNC:9506]","protein_coding",29667.8223052897,-17.4790220945989,3.05422311234844,1.33728403928083e-29,3.72319765691748e-28,"DOWN",NA
"ENSG00000115380","EFEMP1","EGF containing fibulin extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3218]","protein_coding",5019.32820376811,12.4400957291331,0.755005316046371,8.43548829017236e-62,8.59926424543162e-60,"UP",NA
"ENSG00000128710","HOXD10","homeobox D10 [Source:HGNC Symbol;Acc:HGNC:5133]","protein_coding",270.994936519041,10.9616101984995,1.0723424538836,3.59590177971375e-24,7.32935453008418e-23,"UP",NA
"ENSG00000130147","SH3BP4","SH3 domain binding protein 4 [Source:HGNC Symbol;Acc:HGNC:10826]","protein_coding",4953.42390691843,12.526731341256,0.582963689059587,6.65265579996796e-102,3.00467727194108e-99,"UP",NA
"ENSG00000135898","GPR55","G protein-coupled receptor 55 [Source:HGNC Symbol;Acc:HGNC:4511]","protein_coding",799.770726958341,-12.306427711722,3.22783864160205,1.62408646889791e-14,1.79184786297096e-13,"DOWN",NA
"ENSG00000144278","GALNT13","polypeptide N-acetylgalactosaminyltransferase 13 [Source:HGNC Symbol;Acc:HGNC:23242]","protein_coding",760.308633183475,10.9545108861583,0.760518406299655,2.83996984350987e-47,1.65931215456324e-45,"UP",NA
"ENSG00000144339","TMEFF2","transmembrane protein with EGF like and two follistatin like domains 2 [Source:HGNC Symbol;Acc:HGNC:11867]","protein_coding",1054.25442913832,10.8238452063041,0.798987355868008,1.93267902245433e-42,9.36838993269427e-41,"UP",NA
"ENSG00000144366","GULP1","GULP PTB domain containing engulfment adaptor 1 [Source:HGNC Symbol;Acc:HGNC:18649]","protein_coding",1058.62088066522,10.5971582862742,0.63042275964854,7.91089875375105e-64,8.79284035700127e-62,"UP",NA
"ENSG00000144583","MARCHF4","membrane associated ring-CH-type finger 4 [Source:HGNC Symbol;Acc:HGNC:29269]","protein_coding",300.906727169388,11.9550630721112,1.39121444216307,1.15917521787666e-26,2.74174327925707e-25,"UP",NA
"ENSG00000157851","DPYSL5","dihydropyrimidinase like 5 [Source:HGNC Symbol;Acc:HGNC:20637]","protein_coding",409.055306028122,10.0629838095583,0.754172093347888,9.51755523071667e-41,4.32607853889476e-39,"UP",NA
"ENSG00000163286","ALPG","alkaline phosphatase, germ cell [Source:HGNC Symbol;Acc:HGNC:441]","protein_coding",2129.04014629398,11.6280049156362,0.567785746731682,3.12650702920337e-93,9.77600340757722e-91,"UP",NA
"ENSG00000168505","GBX2","gastrulation brain homeobox 2 [Source:HGNC Symbol;Acc:HGNC:4186]","protein_coding",1385.36440667138,16.9438803433268,3.48138036185927,8.85321650220351e-42,4.1845418995631e-40,"UP",NA
"ENSG00000169604","ANTXR1","ANTXR cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:21014]","protein_coding",2838.80417796196,11.6762017746674,0.618550917575442,4.62277079080835e-80,8.59714510337652e-78,"UP",NA
"ENSG00000170500","LONRF2","LON peptidase N-terminal domain and ring finger 2 [Source:HGNC Symbol;Acc:HGNC:24788]","protein_coding",2376.77890857607,11.7857295149965,0.598967984288961,4.55525481361569e-86,1.06241983989034e-83,"UP",NA
"ENSG00000171551","ECEL1","endothelin converting enzyme like 1 [Source:HGNC Symbol;Acc:HGNC:3147]","protein_coding",419.562028969819,12.4460212046604,1.37616230631904,3.22773364735279e-29,8.8140051057367e-28,"UP",NA
"ENSG00000175879","HOXD8","homeobox D8 [Source:HGNC Symbol;Acc:HGNC:5139]","protein_coding",72.3047859324825,12.2083321236576,3.13553942847798,2.48921563359062e-18,3.56099254088424e-17,"UP",NA
"ENSG00000176720","BOK","BCL2 family apoptosis regulator BOK [Source:HGNC Symbol;Acc:HGNC:1087]","protein_coding",2416.49520274725,10.6413227968064,0.533943852601611,1.09997509667943e-88,2.92511134588004e-86,"UP",NA
"ENSG00000178562","CD28","CD28 molecule [Source:HGNC Symbol;Acc:HGNC:1653]","protein_coding",1916.19569953833,-11.1488671033682,1.33562630400807,5.93719458323688e-16,7.21644317263657e-15,"DOWN",NA
"ENSG00000182263","FIGN","fidgetin, microtubule severing factor [Source:HGNC Symbol;Acc:HGNC:13285]","protein_coding",2456.64152065046,12.4185985007598,0.762634174310507,2.56475660063304e-60,2.48223075899363e-58,"UP",NA
"ENSG00000183840","GPR39","G protein-coupled receptor 39 [Source:HGNC Symbol;Acc:HGNC:4496]","protein_coding",259.208122116394,14.2931039013979,3.27469937917779,1.65626882819095e-28,4.33954633861375e-27,"UP",NA
"ENSG00000183853","KIRREL1","kirre like nephrin family adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:15734]","protein_coding",19902.6354316698,17.2410139426013,1.05624186705408,5.65461521814574e-59,5.24092577905925e-57,"UP",NA
"ENSG00000203710","CR1","complement C3b/C4b receptor 1 (Knops blood group) [Source:HGNC Symbol;Acc:HGNC:2334]","protein_coding",1515.65365978396,-13.3244609368334,3.30114637785753,8.03784306355859e-17,1.03911306919807e-15,"DOWN",NA
"ENSG00000211592","IGKC","immunoglobulin kappa constant [Source:HGNC Symbol;Acc:HGNC:5716]","IG_C_gene",301312.925423694,-17.1332542549214,0.991647916076366,1.17370691050322e-64,1.34123118198628e-62,"DOWN",NA
"ENSG00000211597","IGKJ1","immunoglobulin kappa joining 1 [Source:HGNC Symbol;Acc:HGNC:5719]","IG_J_gene",654.078125288946,-11.8966257573464,3.27017964295732,5.02621322452469e-12,4.5143898702849e-11,"DOWN",NA
"ENSG00000211625","IGKV3D-20","immunoglobulin kappa variable 3D-20 [Source:HGNC Symbol;Acc:HGNC:5825]","IG_V_gene",242.282336516834,-10.0695167125427,3.24561417011946,6.58898737889193e-08,3.93293574321357e-07,"DOWN",NA
"ENSG00000213148","JPT1P1","JPT1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54768]","processed_pseudogene",121.033367424243,13.0640295343853,3.18847169283283,1.76675980819867e-22,3.26862051901722e-21,"UP",NA
"ENSG00000222033","LINC01124","long intergenic non-protein coding RNA 1124 [Source:HGNC Symbol;Acc:HGNC:49270]","lncRNA",69.4070743117067,12.1395861766554,3.13253943566613,5.44769057871646e-18,7.61338839522584e-17,"UP",NA
"ENSG00000224137","LINC01857","long intergenic non-protein coding RNA 1857 [Source:HGNC Symbol;Acc:HGNC:52673]","lncRNA",2153.00964023214,-13.9344054452338,3.38509779421635,1.14470960544418e-18,1.67721766803855e-17,"DOWN",NA
"ENSG00000224189","HAGLR","HOXD antisense growth-associated long non-coding RNA [Source:HGNC Symbol;Acc:HGNC:43755]","lncRNA",219.718299496622,11.4948913563587,1.39723447358629,1.78378962137962e-24,3.70752007938171e-23,"UP",NA
"ENSG00000224220","DTNB-AS1","DTNB antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40198]","lncRNA",2057.66917248313,-13.7360186028807,3.475442970241,1.2145486544342e-14,1.35100732655475e-13,"DOWN",NA
"ENSG00000225972","MTND1P23","MT-ND1 pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:42092]","unprocessed_pseudogene",4295.82126763223,10.0324143182014,0.944744653568145,8.79833846172666e-27,2.09496169531356e-25,"UP",NA
"ENSG00000228236","TXNP5","thioredoxin pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:49485]","processed_pseudogene",283.339517367368,10.1112208747211,0.844434049695789,1.58858516699334e-32,5.05045836219314e-31,"UP",NA
"ENSG00000228499","TMSB10P1","thymosin beta 10 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:41949]","processed_pseudogene",549.964562118992,15.4930667769312,3.37030322861235,1.9893202782364e-34,6.99680088960922e-33,"UP",NA
"ENSG00000230450","NEK2P4","NEK2 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:37818]","processed_pseudogene",35.9269486783185,10.9948662024105,3.0938407835663,9.2272776533096e-13,8.8461239335334e-12,"UP",NA
"ENSG00000232992","AHCYP4","adenosylhomocysteinase pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:44996]","processed_pseudogene",25.3408824064556,10.3526951586482,3.09375449269269,2.9461454048904e-10,2.23724636644653e-09,"UP",NA
"ENSG00000233608","TWIST2","twist family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:20670]","protein_coding",245.106325866459,14.2065071242178,3.27132524891439,4.99213787600856e-28,1.26827045646382e-26,"UP",NA
"ENSG00000234184","LINC01781","long intergenic non-protein coding RNA 1781 [Source:HGNC Symbol;Acc:HGNC:52571]","lncRNA",455.499772224018,-11.3309508466163,3.16412864849627,8.59004174028366e-12,7.54618856678084e-11,"DOWN",NA
"ENSG00000234488","RPL27P6","ribosomal protein L27 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:36330]","processed_pseudogene",473.920539325658,15.2573887901203,3.35184497470896,2.97632745988889e-33,9.85895477807667e-32,"UP",NA
"ENSG00000234663","LINC01934","long intergenic non-protein coding RNA 1934 [Source:HGNC Symbol;Acc:HGNC:52757]","lncRNA",223.025126555027,-10.1977335159166,3.00648049938521,1.14803191516099e-10,9.07391669833077e-10,"DOWN",NA
"ENSG00000237352","LINC01358","long intergenic non-protein coding RNA 1358 [Source:HGNC Symbol;Acc:HGNC:50589]","lncRNA",356.235043837697,-10.9663695171192,3.09861484146749,8.60594895903624e-12,7.55782937285238e-11,"DOWN",NA
"ENSG00000238029","RALBP1P2","RALBP1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:54697]","processed_pseudogene",30.8700476172933,10.7219220129819,3.08976861568298,1.08992457203581e-11,9.45797919265234e-11,"UP",NA
"ENSG00000240382","IGKV1-17","immunoglobulin kappa variable 1-17 [Source:HGNC Symbol;Acc:HGNC:5733]","IG_V_gene",1368.0608889401,-12.9781579013448,3.53063132460871,1.6326264538099e-11,1.39549435336764e-10,"DOWN",NA
"ENSG00000241755","IGKV1-9","immunoglobulin kappa variable 1-9 [Source:HGNC Symbol;Acc:HGNC:5744]","IG_V_gene",2101.54104781721,-13.7852615512414,3.455253300435,3.37802369232904e-15,3.89932195300326e-14,"DOWN",NA
"ENSG00000243290","IGKV1-12","immunoglobulin kappa variable 1-12 [Source:HGNC Symbol;Acc:HGNC:5730]","IG_V_gene",261.741743717293,-10.0469751412938,3.40709454553543,4.86630475946267e-07,2.61404258308006e-06,"DOWN",NA
"ENSG00000035720","STAP1","signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:HGNC:24133]","protein_coding",7358.72637775214,-15.8855578172575,3.59515247882456,6.30906891573379e-23,1.19838616107002e-21,"DOWN",NA
"ENSG00000070190","DAPP1","dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]","protein_coding",6025.39680179504,-11.0429098380589,0.756168580359301,3.3917977211469e-47,1.96558477306546e-45,"DOWN",NA
"ENSG00000073792","IGF2BP2","insulin like growth factor 2 mRNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:28867]","protein_coding",1652.09276378975,13.6041503635206,1.05482552515993,1.89710520346527e-37,7.56025650691888e-36,"UP",NA
"ENSG00000114013","CD86","CD86 molecule [Source:HGNC Symbol;Acc:HGNC:1705]","protein_coding",7519.58366171721,-13.1407237638205,1.39588784096463,2.2803657414806e-20,3.70986431149737e-19,"DOWN",NA
"ENSG00000114019","AMOTL2","angiomotin like 2 [Source:HGNC Symbol;Acc:HGNC:17812]","protein_coding",8845.82532885162,11.4559089194802,0.51417986309452,2.29522022832929e-110,1.28055287013493e-107,"UP",NA
"ENSG00000115290","GRB14","growth factor receptor bound protein 14 [Source:HGNC Symbol;Acc:HGNC:4565]","protein_coding",315.796904737078,10.6430435202444,0.954441268705765,2.60104384996339e-28,6.74659085750758e-27,"UP",NA
"ENSG00000115956","PLEK","pleckstrin [Source:HGNC Symbol;Acc:HGNC:9070]","protein_coding",69535.9818994501,-16.4376188972125,1.38898806721733,3.25951887868442e-31,9.78337027152811e-30,"DOWN",NA
"ENSG00000121594","CD80","CD80 molecule [Source:HGNC Symbol;Acc:HGNC:1700]","protein_coding",8639.06885772694,-11.2399334863216,0.699772667737609,9.06369434891208e-58,8.00926580757591e-56,"DOWN",NA
"ENSG00000121807","CCR2","C-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1603]","protein_coding",622.536491212359,-11.8079937193978,3.27283674005397,1.00197355597296e-11,8.74276466165431e-11,"DOWN",NA
"ENSG00000134121","CHL1","cell adhesion molecule L1 like [Source:HGNC Symbol;Acc:HGNC:1939]","protein_coding",1666.44825127679,-13.4432825992305,3.32996220894176,3.1188409754093e-16,3.88034547941829e-15,"DOWN",NA
"ENSG00000138650","PCDH10","protocadherin 10 [Source:HGNC Symbol;Acc:HGNC:13404]","protein_coding",1073.52827055129,12.971996496544,1.06499941998503,1.24064011312961e-33,4.19253845356176e-32,"UP",NA
"ENSG00000144681","STAC","SH3 and cysteine rich domain [Source:HGNC Symbol;Acc:HGNC:11353]","protein_coding",1078.96693036033,11.2503354525823,2.17237268050004,4.52775654383167e-08,2.755288165704e-07,"UP",NA
